,id,name,sector_id,country_id,production_cost_function,abatement_cost_function,actual_output,emission,profit,BAU_output,BAU_emission,BAU_profit,exp7_free_allocation,abatement,permits_costs,sales,permits_used,free_permits,permits_bought
count,30.0,30,30.0,30.0,30,30,30.0,30.0,30,30.0,30.0,30,30.0,30,30.0,30,30.0,30.0,30.0
unique,,30,,,1,25,,,30,,,25,,29,,14,,,
top,,S1_F1,,,0,2*x**3 + x**2 + x,,,10541.0813654574,,,12500.0246419389,,19.2053596593242,,12286.0515496766,,,
freq,,1,,,30,2,,,1,,,2,,2,,3,,,
mean,15.5,,3.5,2.6,,,472.2490267075848,470.3700730008264,,587.9625912510331,587.9625912510331,,0.0,,7602.808895498462,,470.3700730008264,188.2791413403274,282.090931660499
std,8.803408430829505,,1.737020834449128,1.3796551293211172,,,229.15089916631118,228.85057015448604,,393.65445913603776,393.65445913603776,,0.0,,9080.25367919581,,228.85057015448604,142.89829540837482,336.9093259196124
min,1.0,,1.0,1.0,,,244.3192783418534,242.63682222696713,,249.99890860233123,249.99890860233123,,0.0,,718.0565206603194,,242.63682222696713,0.0,26.642420674008747
25%,8.25,,2.0,1.0,,,274.67787303768233,273.2058955353397,,277.77793874640076,277.77793874640076,,0.0,,1630.7458010581056,,273.2058955353397,30.875043329127692,60.506400811192236
50%,15.5,,3.5,2.5,,,405.21749019735194,403.2167333618928,,416.66615427469173,416.66615427469173,,0.0,,1838.124555708051,,403.2167333618928,214.38405047856946,68.20088148404383
75%,22.75,,5.0,4.0,,,619.9224386083678,617.5181406460755,,833.3327750054184,833.3327750054184,,0.0,,15810.984537893284,,617.5181406460755,258.3541149433375,586.6430973169478
max,30.0,,6.0,5.0,,,884.1395898629025,882.3666511626278,,1333.3368611162587,1333.3368611162587,,0.0,,23781.21474895252,,882.3666511626278,411.6775888123605,882.3666511626278
