id,name,sector_id,country_id,production_cost_function,abatement_cost_function,actual_output,emission,profit,BAU_output,BAU_emission,BAU_profit,exp7_free_allocation,abatement,permits_costs,sales,permits_used,free_permits,permits_bought
1,S1_F1,1,1,0,x**3 + 3*x**2 + 2*x,297.03207404856636,295.2764279917792,217816398.583614,333.3336618923573,333.3336618923573,11111.1330150568,10000000.0,18.1695870297035,-217801124.36489838,15292.3883029168,295.2764279917792,0,-9999704.723572008
2,S1_F2,1,1,0,2*x**3 + 2*x**2 + 3*x,297.0320740485663,295.56506379258457,8839.73826265688,333.33187813644156,333.33187813644156,11111.0140981968,0.0,15.0196305078951,6437.630409751995,15292.3883029168,295.56506379258457,0,295.56506379258457
3,S1_F3,1,2,0,3*x**3 + x**2 + 4*x,297.03207404856624,295.7332258741355,8837.63930044136,333.33199591830333,333.33199591830333,11111.0219502880,0.0,13.4558955288677,6441.293106946543,15292.3883029168,295.7332258741355,0,295.7332258741355
4,S1_F4,1,3,0,2*x**3 + 2*x**2 + 2*x,297.03207404856624,295.5193565412523,8841.22822202796,333.33348136345546,333.33348136345546,11111.1209797881,0.0,14.5252096058966,6436.634871282911,15292.3883029168,295.5193565412523,0,295.5193565412523
5,S1_F5,1,4,0,x**3 + 3*x**2 + 3*x,297.03207404856624,295.33758859546884,8841.14983181720,333.334491344721,333.334491344721,11111.1883120044,0.0,18.5626430143846,6432.675828085185,15292.3883029168,295.33758859546884,0,295.33758859546884
6,S2_F1,2,1,0,3*x**3 + 2*x**2 + x,427.3974814304658,426.0840098169069,9150.47683990262,500.0004928385358,500.0004928385358,12500.0246419389,0.0,11.5619209168522,9280.43167047406,18442.4704312935,426.0840098169069,0,426.0840098169069
7,S2_F2,2,1,0,2*x**3 + x**2 + 2*x,427.39748143046586,425.7408076536275,9154.36234001452,499.99781720466245,499.99781720466245,12499.8908604714,0.0,15.1516232347293,9272.95646804428,18442.4704312935,425.7408076536275,0,425.7408076536275
8,S2_F3,2,2,0,x**3 + x**2 + 3*x,427.39748143046575,425.20665887161164,9159.26065747846,499.997993877455,499.997993877455,12499.8996940740,0.0,21.8874698303457,9261.32230398472,18442.4704312935,425.20665887161164,0,425.20665887161164
9,S2_F4,2,3,0,x**3 + 3*x**2 + x,427.3974814304658,425.5820030477358,9155.28573657425,500.00022204518314,500.00022204518314,12500.0111022616,0.0,17.6871109794544,9269.497583739827,18442.4704312935,425.5820030477358,0,425.5820030477358
10,S2_F5,2,4,0,x**3 + 2*x**2 + 2*x,427.39748143046586,425.4112195955081,9156.99337250862,500.0017370170818,500.0017370170818,12500.0868510050,0.0,19.6992676735980,9265.777791111308,18442.4704312935,425.4112195955081,0,425.4112195955081
