,id,name,sector_id,country_id,production_cost_function,abatement_cost_function,actual_output,emission,profit,BAU_output,BAU_emission,BAU_profit,exp7_free_allocation,abatement,permits_costs,sales,permits_used,free_permits,permits_bought
count,30.0,30,30.0,30.0,30,30,30.0,30.0,30,30.0,30.0,30,30.0,30,30.0,30,30.0,30.0,30.0
unique,,30,,,1,25,,,30,,,25,,25,,16,,,
top,,S1_F1,,,0,2*x**3 + x**2 + x,,,217816398.583614,,,12500.0246419389,,14.4555725309836,,18442.4704312935,,,
freq,,1,,,30,2,,,1,,,2,,2,,4,,,
mean,15.5,,3.5,2.6,,,472.00060691440143,470.37007300082655,,587.9625912510331,587.9625912510331,,333521.4813625337,,-7254104.847600684,,470.37007300082655,0.0,-333051.11128953286
std,8.803408430829505,,1.737020834449128,1.3796551293211172,,,268.6638208879908,268.394605804577,,393.65445913603776,393.65445913603776,,1825706.6133588525,,39765990.77141354,,268.394605804577,0.0,1825739.7289107442
min,1.0,,1.0,1.0,,,231.8493703576164,230.46767828258538,,249.99890860233123,249.99890860233123,,0.0,,-217801124.36489838,,230.46767828258538,0.0,-9999704.723572008
25%,8.25,,2.0,1.0,,,253.57693825459972,252.32018260059507,,277.77793874640076,277.77793874640076,,0.0,,5493.277185506411,,252.32018260059507,0.0,252.2078340044222
50%,15.5,,3.5,2.5,,,362.2147777395161,360.46994237287356,,416.66615427469173,416.66615427469173,,0.0,,7851.307705465631,,360.46994237287356,0.0,360.46994237287356
75%,22.75,,5.0,4.0,,,651.827036909498,649.7267654785693,,833.3327750054184,833.3327750054184,,0.0,,14151.539866734347,,649.7267654785693,0.0,649.7267654785693
max,30.0,,6.0,5.0,,,970.320740485663,968.7634203941399,,1333.3368611162587,1333.3368611162587,,10000000.0,,21100.39926559527,,968.7634203941399,0.0,968.7634203941399
