,id,name,sector_id,country_id,production_cost_function,abatement_cost_function,actual_output,emission,profit,BAU_output,BAU_emission,BAU_profit,exp7_free_allocation,abatement,permits_costs,sales,permits_used,free_permits,permits_bought
count,30.0,30,30.0,30.0,30,30,30.0,30.0,30,30.0,30.0,30,30.0,30,30.0,30,30.0,30.0,30.0
unique,,30,,,1,25,,,30,,,25,,25,,16,,,
top,,S1_F1,,,0,2*x**3 + x**2 + x,,,12703.5672460647,,,12500.0246419389,,14.4555725309836,,18442.4704312935,,,
freq,,1,,,30,2,,,1,,,2,,2,,4,,,
mean,15.5,,3.5,2.6,,,472.00060691440143,470.37007300082655,,587.9625912510331,587.9625912510331,,188.14802920033063,,6147.00935272721,,470.37007300082655,0.0,282.2220438004959
std,8.803408430829505,,1.737020834449128,1.3796551293211172,,,268.6638208879908,268.394605804577,,393.65445913603776,393.65445913603776,,59.445458138704154,,5621.3178111413745,,268.394605804577,0.0,258.0864466732254
min,1.0,,1.0,1.0,,,231.8493703576164,230.46767828258538,,249.99890860233123,249.99890860233123,,129.95573563356007,,2007.9040670626578,,230.46767828258538,0.0,92.18707131303415
25%,8.25,,2.0,1.0,,,253.57693825459972,252.32018260059507,,277.77793874640076,277.77793874640076,,141.67352171311398,,2199.2562127473266,,252.32018260059507,0.0,100.97244815922
50%,15.5,,3.5,2.5,,,362.2147777395161,360.46994237287356,,416.66615427469173,416.66615427469173,,177.25244753530922,,3140.7335486212933,,360.46994237287356,0.0,144.19763990296002
75%,22.75,,5.0,4.0,,,651.827036909498,649.7267654785693,,833.3327750054184,833.3327750054184,,193.74545915544005,,10480.681724626002,,649.7267654785693,0.0,481.1899977725185
max,30.0,,6.0,5.0,,,970.320740485663,968.7634203941399,,1333.3368611162587,1333.3368611162587,,389.70446504472415,,16880.319412476216,,968.7634203941399,0.0,775.0107363153119
