id,name,sector_id,country_id,production_cost_function,abatement_cost_function,actual_output,emission,profit,BAU_output,BAU_emission,BAU_profit,exp7_free_allocation,abatement,permits_costs,sales,permits_used,free_permits,permits_bought
1,S1_F1,1,1,0,x**3 + 3*x**2 + 2*x,297.03207404856636,295.2764279917792,12703.5672460647,333.3336618923573,333.3336618923573,11111.1330150568,177.25244753530922,18.1695870297035,2570.6514698223573,15292.3883029168,295.2764279917792,0,118.02398045646999
2,S1_F2,1,1,0,2*x**3 + 2*x**2 + 3*x,297.0320740485663,295.56506379258457,12700.4304967602,333.33187813644156,333.33187813644156,11111.0140981968,177.2524475353092,15.0196305078951,2576.938175648699,15292.3883029168,295.56506379258457,0,118.31261625727538
3,S1_F3,1,2,0,3*x**3 + x**2 + 4*x,297.03207404856624,295.7332258741355,12702.4151646093,333.33199591830333,333.33199591830333,11111.0219502880,177.43993552448129,13.4558955288677,2576.5172427786174,15292.3883029168,295.7332258741355,0,118.2932903496542
4,S1_F4,1,3,0,2*x**3 + 2*x**2 + 2*x,297.03207404856624,295.5193565412523,12703.2091447977,333.33348136345546,333.33348136345546,11111.1209797881,177.3116139247514,14.5252096058966,2574.653948513164,15292.3883029168,295.5193565412523,0,118.2077426165009
5,S1_F5,1,4,0,x**3 + 3*x**2 + 3*x,297.03207404856624,295.33758859546884,12700.7553286683,333.334491344721,333.334491344721,11111.1883120044,177.20255315728133,18.5626430143846,2573.0703312340734,15292.3883029168,295.33758859546884,0,118.13503543818751
6,S2_F1,2,1,0,3*x**3 + 2*x**2 + x,427.3974814304658,426.0840098169069,12965.0315572165,500.0004928385358,500.0004928385358,12500.0246419389,175.13417773335814,11.5619209168522,5465.876953160195,18442.4704312935,426.0840098169069,0,250.94983208354878
7,S2_F2,2,1,0,2*x**3 + x**2 + 2*x,427.39748143046586,425.7408076536275,12968.9170573284,499.99781720466245,499.99781720466245,12499.8908604714,175.13417773335817,15.1516232347293,5458.401750730413,18442.4704312935,425.7408076536275,0,250.6066299202693
8,S2_F3,2,2,0,x**3 + x**2 + 3*x,427.39748143046575,425.20665887161164,14716.0540398693,499.997993877455,499.997993877455,12499.8996940740,255.123995322967,21.8874698303457,3704.528921593888,18442.4704312935,425.20665887161164,0,170.08266354864463
9,S2_F4,2,3,0,x**3 + 3*x**2 + x,427.3974814304658,425.5820030477358,14716.9842868181,500.00022204518314,500.00022204518314,12500.0111022616,255.34920182864147,17.6871109794544,3707.7990334959304,18442.4704312935,425.5820030477358,0,170.2328012190943
10,S2_F5,2,4,0,x**3 + 2*x**2 + 2*x,427.39748143046586,425.4112195955081,14716.4600471754,500.0017370170818,500.0017370170818,12500.0868510050,255.2467317573049,19.6992676735980,3706.311116444522,18442.4704312935,425.4112195955081,0,170.1644878382032
11,S3_F1,3,3,0,x**3 + x**2 + x,651.827036909498,649.5074417412069,17015.9692051651,833.3341547308933,833.3341547308933,13888.9162688210,389.70446504472415,20.1807491550803,5658.705132007987,22694.8550863282,649.5074417412069,0,259.80297669648274
12,S3_F2,3,4,0,x**3 + 2*x**2 + x,651.8270369094981,649.7786781678003,12559.5492936052,833.329695341104,833.329695341104,13888.7676227459,185.31951812616126,19.0343552090441,10116.271437513993,22694.8550863282,649.7786781678003,0,464.45916004163905
13,S3_F3,3,5,0,2*x**3 + x**2 + x,651.8270369094981,650.1252183502163,11352.2247367267,833.3299897957584,833.3299897957584,13888.7774378600,130.02504367004326,14.4555725309836,11328.174777070557,22694.8550863282,650.1252183502163,0,520.100174680173
14,S3_F4,3,2,0,x**3 + x**2 + 2*x,651.827036909498,649.5710274108761,17014.5122406462,833.3337034086384,833.3337034086384,13888.9012247351,389.74261644652574,21.0837361024608,5659.259109579536,22694.8550863282,649.5710274108761,0,259.8284109643504
15,S3_F5,3,1,0,2*x**3 + 2*x**2 + x,651.8270369094979,650.2697168179749,11350.2009005533,833.3362283618026,833.3362283618026,13888.9853900055,130.05394336359498,13.9615800590069,11330.692605715849,22694.8550863282,650.2697168179749,0,520.2157734543799
16,S4_F1,4,1,0,x**3 + 4*x**2 + 3*x,253.57693825459972,252.07512968059734,12956.5847095346,277.77805157696446,277.77805157696446,11574.0968906842,151.3078366567789,16.9143642934569,2194.7877788890387,15168.2868527171,252.07512968059734,0,100.76729302381844
17,S4_F2,4,1,0,2*x**3 + 3*x**2 + 4*x,253.5769382545997,252.28432584199902,12954.4401184185,277.7765651137014,277.7765651137014,11573.9730189550,151.30783665677887,14.5025049517162,2199.3442293468916,15168.2868527171,252.28432584199902,0,100.97648918522015
18,S4_F3,4,2,0,x**3 + 5*x**2 + 2*x,253.57693825459975,252.18233672522993,12955.9719690915,277.77666326525275,277.77666326525275,11573.9811982166,151.30940203513796,15.2261494253448,2197.0887342002407,15168.2868527171,252.18233672522993,0,100.87293469009197
19,S4_F4,4,3,0,3*x**3 + 3*x**2 + 3*x,253.5769382545998,252.42775287638324,12957.0976057702,277.7779011362129,277.7779011362129,11574.0843539459,151.45665172582997,11.9623730661205,2199.2268738808048,15168.2868527171,252.42775287638324,0,100.97110115055327
20,S4_F5,4,4,0,4*x**3 + 2*x**2 + 2*x,253.57693825459972,252.44893350528878,12958.3335787447,277.77874278726756,277.77874278726756,11574.1544916712,151.46936010317327,10.5418680512304,2199.4114059212166,15168.2868527171,252.44893350528878,0,100.9795734021155
21,S5_F1,5,1,0,x**3 + 4*x**2 + 5*x,231.8493703576165,230.46767828258538,13775.5940016419,250.0002464192679,250.0002464192679,12500.0246419389,138.28060696955123,17.1825033571912,2007.9040670626578,15800.6805720617,230.46767828258538,0,92.18707131303415
22,S5_F2,5,2,0,2*x**3 + 5*x**2 + 4*x,231.8493703576164,230.7701389975983,13777.4867001779,249.99890860233123,249.99890860233123,12499.8908604714,138.462083398559,12.6546756597795,2010.5391962240512,15800.6805720617,230.7701389975983,0,92.3080555990393
23,S5_F3,5,3,0,2*x**3 + 3*x**2 + 3*x,231.84937035761644,230.5108584788197,13778.2137349183,249.9989969387275,249.9989969387275,12499.8996940740,138.3065150872918,14.1865711608617,2008.2802659825306,15800.6805720617,230.5108584788197,0,92.20434339152789
24,S5_F4,5,4,0,3*x**3 + 4*x**2 + 2*x,231.84937035761644,230.74610921174562,13779.2468484090,250.00011102259157,250.00011102259157,12500.0111022616,138.44766552704738,11.1038821854918,2010.3298414672204,15800.6805720617,230.74610921174562,0,92.29844368469824
25,S5_F5,5,5,0,4*x**3 + 3*x**2 + x,231.84937035761655,230.75988178696542,13780.4074672792,250.0008685085409,250.0008685085409,12500.0868510050,138.45592907217926,9.82327247754614,2010.449832304998,15800.6805720617,230.75988178696542,0,92.30395271478616
26,S6_F1,6,5,0,x**3 + x**2 + x,970.320740485663,968.0011453173719,13662.3244480893,1333.3311095030633,1333.3311095030633,17777.7184756867,193.6002290634744,20.1807491550803,16867.037070776347,30549.5422680208,968.0011453173719,0,774.4009162538975
27,S6_F2,6,4,0,x**3 + 2*x**2 + x,970.3207404856628,968.272381743965,13658.7446545877,1333.3281194707783,1333.3281194707783,17777.6387417148,193.654476348793,19.0343552090441,16871.763258223975,30549.5422680208,968.272381743965,0,774.617905395172
28,S6_F3,6,3,0,2*x**3 + x**2 + x,970.3207404856629,968.6189219263811,13657.2851116589,1333.3312070588338,1333.3312070588338,17777.7210771697,193.72378438527625,14.4555725309836,16877.801583830922,30549.5422680208,968.6189219263811,0,774.8951375411048
29,S6_F4,6,2,0,x**3 + x**2 + 2*x,970.3207404856629,968.064730987041,13660.3135059989,1333.3358417348077,1333.3358417348077,17777.8446685467,193.6129461974082,21.0837361024608,16868.145025919443,30549.5422680208,968.064730987041,0,774.4517847896328
30,S6_F5,6,1,0,2*x**3 + 2*x**2 + x,970.3207404856629,968.7634203941399,13655.2612754856,1333.3368611162587,1333.3368611162587,17777.8718521136,193.75268407882797,13.9615800590069,16880.319412476216,30549.5422680208,968.7634203941399,0,775.0107363153119
