Emission Cap,Permit Price,Outputs,Emissions,Profits
1.0,100001871.94236788,"(1000.0, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 15.014107288081737, 15.849931923611136)","(0.0009999999999763531, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.000999998999999363)","(9899078270.09168, 704817575.4901737, 111422805.9109365, 110497376.53708106, 791273099.9886072, 133890794.07488467, 249600637.21384504, 99046745.01960957, 97405307.31062396)"
2.0,66666816.11022796,"(1000.0, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 15.014107288081737, 15.849931923611136)","(1.000999998999987, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.000999998999999363)","(6598941077.686033, 454869923.64746255, 63946930.35010174, 66665563.30356847, 520519376.93148607, 83927931.72434016, 152732413.8761219, 49030469.570312254, 44602805.7722016)"
3.0,55555715.789523676,"(1000.0, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 15.014107288081737, 16.849931923611138)","(1.000999998999987, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 1.0009999990000011)","(5498953257.025519, 371558425.72966987, 48122471.59335021, 52055728.044004485, 430272887.0428643, 67274521.0121493, 120444699.18174511, 32359251.90925591, 37002881.19229458)"
4.0,44444618.197303504,"(1000.0, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 16.01410728808174, 16.849931923611138)","(1.000999998999987, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 1.0009999990000011, 1.0009999990000011)","(4398965706.482203, 288246948.2701658, 32298016.72251303, 37445896.37208728, 340026419.3155144, 50621114.389433414, 88156992.40891728, 25688022.407844514, 29402962.13616381)"
5.0,44444382.18342839,"(1000.0, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 30.068965370321294, 16.01410728808174, 16.849931923611138)","(1.000999998999987, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 1.0009999990000011, 1.0009999990000011, 1.0009999990000011)","(4398942341.344581, 288245178.62819546, 32297680.590921663, 37445586.040640816, 340024502.36551136, 50620760.64985025, 88156505.74071483, 25687876.88026933, 29402796.745104365)"
6.0,33333288.68393437,"(1000.0, 75.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 30.068965370321294, 16.01410728808174, 16.849931923611138)","(1.000999998999987, 1.0009999990000011, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 1.0009999990000011, 1.0009999990000011, 1.0009999990000011)","(3298955095.9770594, 214933715.7404597, 16473230.12375336, 22835759.75019376, 249778067.8800688, 33967360.16134677, 65868801.756328486, 19016657.12327128, 21802884.420651544)"
7.0,20408233.467605896,"(1000.0, 75.99042093224558, 15.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 30.068965370321294, 16.01410728808174, 16.849931923611138)","(1.000999998999987, 1.0009999990000011, 1.0009999989999994, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 1.0009999990000011, 1.0009999990000011, 1.0009999990000011)","(2019387454.6028318, 129653649.75390564, 9697881.373894049, 5840779.7769270195, 144798288.09023702, 14595178.578738289, 39942478.244021095, 11256315.28802457, 12962234.628866317)"
8.0,20408197.087817825,"(1000.0, 75.99042093224558, 15.252026702029976, 66.7943224647568, 406.15959883669814, 74.99042093224558, 30.068965370321294, 16.01410728808174, 16.849931923611138)","(1.000999998999987, 1.0009999990000011, 1.0009999989999994, 1.0009999990000011, 0.0009999989999869285, 0.0009999990000011394, 1.0009999990000011, 1.0009999990000011, 1.0009999990000011)","(2019383853.0401926, 129653409.71853256, 9697862.303511964, 5840767.527922001, 144797951.99065432, 14595116.55336353, 39942405.26993015, 11256293.445209462, 12962209.7453389)"
9.0,15306196.928577265,"(1000.0, 75.99042093224558, 15.252026702029976, 66.7943224647568, 407.15959883669814, 74.99042093224558, 30.068965370321294, 16.01410728808174, 16.849931923611138)","(1.000999998999987, 1.0009999990000011, 1.0009999989999994, 1.0009999990000011, 1.000999998999987, 0.0009999990000011394, 1.0009999990000011, 1.0009999990000011, 1.0009999990000011)","(1514290939.2704344, 95990197.90312293, 7023380.1915599415, 4132170.1257564705, 108358487.3617919, 6948188.258622026, 29708320.813470148, 8192997.806118428, 9472476.363891043)"
10.0,271.0294211283326,"(57.37123692675474, 3.489988981178892, 3.1325978323884613, 6.226153140976328, 25.4095240716544, 6.783839562234996, 4.611890991983053, 3.5379449825747202, 3.5941198005352946)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 1.0009999989999994, 1.0009999989999998, 1.0009999989999998)","(3375.9398353878137, 17.511710459842682, 25.674607459245188, 418.21354736649045, 2006.5953609908788, 467.31450801497556, 539.144923380703, 364.08481419193174, 364.90869306292035)"
11.0,262.3892214614898,"(57.37123692675474, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 4.611890991983053, 3.9185563812720368, 4.594119799535294)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 1.0009999989999994, 1.3816113976973163, 2.0009999979999993)","(3335.250679668678, 23.159236939424098, 31.637351506395007, 425.7864830984724, 2010.8533336203777, 474.7910733063343, 543.1348166953214, 369.27783347024325, 377.7215468572568)"
12.0,253.74902179464698,"(57.37123692675474, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 4.672657125087937, 4.53794498157472, 4.594119799535294)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 1.061766132104884, 2.0009999979999993, 2.0009999979999993)","(3294.329625308457, 28.79265663404687, 37.61448859422386, 433.35941883045433, 2015.1113062498757, 482.267638597693, 547.4885771326188, 382.5005748449753, 390.6983451936479)"
13.0,229.64741219766438,"(57.37123692675474, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 5.611890990983053, 4.488789309824785, 4.594119929683217)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 2.0009999979999993, 2.0009999979999997, 2.0010001286249897)","(3180.1814210404714, 44.50693262431037, 54.28755520764109, 454.4839237670355, 2026.988808847951, 503.1233207262199, 582.117008548004, 419.3798921270522, 427.3866401220138)"
14.0,227.82842279411852,"(57.37123692675474, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 5.611890990983053, 4.925393609291847, 5.594119798535294)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 2.0009999979999993, 2.4376042975762795, 3.000999996999999)","(3171.566462227793, 45.69291571791519, 55.545899857710324, 456.07822602640016, 2027.8852241383715, 504.69733447176907, 583.7886332719493, 421.7018846202247, 431.39651303474284)"
