Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,1783.399304875741,26.814245225386948,"(182.9643869365326, 182.9643869365327, 182.96438693653272, 307.964386936535, 307.96438693653465, 307.96438693653056, 107.23495933122638, 107.23495933122732, 107.23495933122669)","(179.607036424305, 180.79832956110988, 181.99626858093526, 306.93584455097204, 306.6620641258164, 306.90870725943444, 106.34342813682873, 106.61320138776453, 106.67085853082284)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0101010101010101,1783.399304875741,26.92531846531569,"(183.36663612118838, 183.3666361211886, 183.36663612118863, 307.6867038367132, 307.6867038367133, 307.68670383670826, 107.18948600947343, 107.18948600947326, 107.18948600947333)","(179.99085445218486, 181.18766719616033, 182.39547664606764, 306.6542319054447, 306.3803694935054, 306.6277050139323, 106.29497705769785, 106.56574715277561, 106.62346033692612)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0202020202020202,1783.399304875741,27.00755514131173,"(183.8451300831505, 183.84513008315082, 183.84513008315056, 307.481112146723, 307.4811121467232, 307.4811121467183, 107.15581465531909, 107.15581790103629, 107.15582478413431)","(180.45570230938776, 181.65660167356813, 182.8717190165474, 306.44573084883115, 306.17180773531686, 306.4196558867772, 106.25910102428107, 106.53061241097154, 106.58837397005983)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0303030303030303,1783.399304875741,27.13174603174604,"(184.2260709635361, 184.2260709635365, 184.22607096353613, 307.17063492063494, 307.17063492063494, 307.17063492063494, 107.10505325160513, 107.1048751535748, 107.10486660134882)","(180.81603538031038, 182.02310619722502, 183.24925963223674, 306.130860772473, 305.856845989833, 306.1054682964714, 106.20501020085581, 106.47745481161535, 106.53526359472049)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0404040404040404,1783.399304875741,27.25710117234761,"(184.61048961179267, 184.61048961179267, 184.61048961179216, 306.85724706913334, 306.8572470691334, 306.85724706912873, 107.05372405447181, 107.05353976416048, 107.05372286235901)","(181.17965292600238, 182.39295308143645, 183.63024612265866, 305.8130373393418, 305.5389300277558, 305.78833375084156, 106.15032035537122, 106.4238837958716, 106.48194747646197)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0505050505050505,1783.399304875741,27.340370135311044,"(185.09834140492188, 185.09819265269718, 185.10369099055342, 305.92678181692025, 305.9741428984915, 307.3441252136359, 107.01947459029712, 107.01952123625382, 107.01951919577076)","(181.65358775863422, 182.87091323608277, 184.12117281936327, 304.8796262002884, 304.65278239062536, 306.27270292979705, 106.11383853740027, 106.38838022448468, 106.44630077906524)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0606060606060606,1783.399304875741,27.51132376703437,"(185.3900729713586, 185.39007297135873, 185.390072971359, 306.2216905824166, 306.2216905824164, 306.22169058241167, 106.94944146359283, 106.9495144722534, 106.9495027314119)","(181.91705135874292, 183.1431715094836, 184.40310793527118, 305.16873292689735, 304.8941920118166, 305.1451804583825, 106.03922232265, 106.31532462251172, 106.37332172998546)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0707070707070707,1783.399304875741,27.62826420476683,"(185.2005237760363, 186.05798224421025, 185.93600599427586, 306.10748306546907, 305.39490875593356, 306.10748306546463, 106.88680500463774, 106.9024902176672, 106.90912921548652)","(181.7082761643533, 183.79775061871263, 184.9459990905048, 305.0505565386226, 304.0631867525282, 305.0274784692391, 105.97345081288104, 106.26621481733797, 106.3309216648105)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0808080808080808,1783.399304875741,27.769065553391663,"(186.40416453352938, 186.40416453352944, 185.53649979752865, 305.85487512118124, 305.3016660613881, 305.29792816233817, 106.8067085590261, 106.8846571606243, 106.80590918221272)","(182.88905484869284, 184.1278828140538, 184.5428303534042, 304.79316990147, 303.9648588620799, 304.213716070335, 105.88957963039344, 106.24587066711769, 106.225261578524)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0909090909090909,1783.399304875741,27.845083000808035,"(186.5532423463476, 186.88293918081692, 186.543761102855, 306.12186722992163, 304.6576649127705, 304.64777165740645, 106.79018487986701, 106.82075927321847, 106.82075696875671)","(183.02578962317546, 184.5979921524723, 185.54811428442667, 305.05758151563595, 303.31811225955914, 303.5612879743131, 105.8710180029847, 106.18061706191912, 106.23879200125438)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
