Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,1792.357702840185,26.226043701171875,"(176.04523429126368, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 108.07885503912362, 108.13551249276011, 107.87892156592157)","(170.4982179605704, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.75081409547164, 308.53386260557664, 106.24511034706619, 106.63967467100495, 106.36804101759286)","(3404.97992236144, 3522.27454917939, 3530.84282573002, 9515.60973412254, 9566.93225458208, 9517.50029362789, 6212.14923385488, 6212.59872542364, 6189.86060611082)"
0.0101010101010101,1792.357702840185,26.702880859375,"(176.04523429126368, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.54146693626433, 107.6771629375471, 108.06443006472225)","(170.4982179605704, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.7077222442069, 106.18132511579194, 106.5535495163424)","(3371.16402569244, 3484.03697241975, 3492.70709129819, 9368.44230125639, 9421.73436604111, 9370.38876666586, 6154.47962484600, 6161.81873863306, 6196.89941502264)"
0.0202020202020202,1792.357702840185,26.702880859375,"(176.04523429126368, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.54071643586484, 107.49447315145122, 108.18519054974405)","(170.4982179605704, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.7069717438074, 105.99863532969606, 106.67431000141534)","(3418.64801475447, 3534.62218186657, 3543.29230074501, 9368.44230125639, 9421.73436604111, 9370.38876666586, 6154.48787464878, 6145.35830235538, 6207.44561774781)"
0.0303030303030303,1792.357702840185,27.179718017578125,"(187.54290076821835, 176.04523429126368, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.77338369733702, 107.65724535262652, 107.35210386439013)","(181.90641468503358, 174.77721726149042, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.93963900511153, 106.16140753087136, 105.81069042042293)","(3600.46869029509, 3286.03334093257, 3507.86648824783, 9221.27486839025, 9276.57883750795, 9223.31045565940, 6165.62385563648, 6150.27584384419, 6134.75857713384)"
0.0404040404040404,1792.357702840185,27.65655517578125,"(176.04523429126368, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.28642558158244, 107.46694230184062, 107.45182663883557)","(170.40874820807892, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.452680889525, 105.97110448008546, 105.91041319505231)","(3357.87364699951, 3465.37348683970, 3474.24729037375, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6112.59573726189, 6123.39131987594, 6123.35761280401)"
0.0505050505050505,1792.357702840185,27.65655517578125,"(176.04523429126368, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.29523313312497, 107.36554551746643, 107.5185323235556)","(170.40874820807892, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.46148844106753, 105.86970769566112, 105.97711887978949)","(3407.05349281375, 3517.76531090962, 3526.63911444368, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6113.51967240279, 6121.61170921933, 6128.63651788410)"
0.0606060606060606,1792.357702840185,27.65655517578125,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.26611784938979, 107.39558052269717, 107.49367366426371)","(181.90641468503358, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.43237315733235, 105.89974270094201, 105.95226022029651)","(3457.98377428681, 3354.52656266419, 3363.40036619824, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6114.10493814775, 6117.06661610053, 6128.61303447394)"
0.07070707070707072,1792.357702840185,25.74920654296875,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 108.10883658057863, 108.19683375170277, 108.27019207240411)","(178.15198397385623, 186.31693036570087, 186.08940029152032, 308.63247617010046, 304.75081409547164, 308.53386260557664, 106.32053889613599, 106.70099592993938, 106.75931152421981)","(3873.94511488070, 3736.92772998767, 3745.39176619904, 9662.77716698868, 9712.24876673546, 9664.62070388216, 6224.81933689581, 6227.95210215289, 6234.87392394154)"
0.08080808080808081,1792.357702840185,26.226043701171875,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.75449469745907, 108.04652227556478, 108.14329121088899)","(178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.75081409547164, 308.53386260557664, 105.92075000532077, 106.55068445377279, 106.63241066256028)","(3845.00068243048, 3704.09919394620, 3712.66747049684, 9515.60973412254, 9566.93225458208, 9517.50029362789, 6198.01343602864, 6205.33932457240, 6213.65214424364)"
0.09090909090909091,1792.357702840185,26.226043701171875,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.75449469745907, 108.04652227556478, 108.14329121088899)","(178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.75081409547164, 308.53386260557664, 105.92075000532077, 106.55068445377279, 106.63241066256028)","(3894.68258456575, 3753.78109608147, 3762.34937263211, 9515.60973412254, 9566.93225458208, 9517.50029362789, 6198.01343602864, 6205.33932457240, 6213.65214424364)"
0.10101010101010102,1792.357702840185,26.702880859375,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.71753389931594, 107.7504131151773, 107.90627357758403)","(178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.8837892072585, 106.25457529327409, 106.39539302925532)","(3868.44807405019, 3723.67328512578, 3732.34340400423, 9368.44230125639, 9421.73436604111, 9370.38876666586, 6169.42727923641, 6168.67951293445, 6182.57114309408)"
0.11111111111111112,1792.357702840185,27.179718017578125,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.81863099065747, 107.61330546200644, 107.47537013863969)","(178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.98488629860003, 106.11746764025128, 105.93395669472305)","(3844.02017815772, 3695.37208879320, 3704.14404999945, 9221.27486839025, 9276.57883750795, 9223.31045565940, 6169.92017705284, 6146.32405610638, 6134.54772612531)"
0.12121212121212122,1792.357702840185,27.179718017578125,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.71787731244095, 107.59176242818747, 107.5546400663121)","(178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.88413262038351, 106.09592460634582, 106.0132266223449)","(3895.50869491609, 3746.86060555157, 3755.63256675782, 9221.27486839025, 9276.57883750795, 9223.31045565940, 6160.54110768071, 6148.68824632447, 6141.54254891206)"
0.13131313131313133,1792.357702840185,27.65655517578125,"(187.54290076821835, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177)","(177.80262713989646, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457)","(3873.86173993449, 3721.26933115364, 3730.14313468770, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425)"
0.14141414141414144,1792.357702840185,27.65655517578125,"(199.79148991589773, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177)","(190.05121628757584, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457)","(3926.40649770560, 3543.94756131617, 3552.82136485023, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425)"
0.15151515151515152,1792.357702840185,27.65655517578125,"(199.79148991589773, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177)","(190.05121628757584, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457)","(3982.22007714510, 3596.33938538610, 3605.21318892015, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425)"
0.16161616161616163,1792.357702840185,27.65655517578125,"(199.79148991589773, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.30055006839824, 107.44300675379303, 107.44817510688138)","(190.05121628757584, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.4668053763408, 105.94716893203787, 105.90676166291418)","(4038.03365658460, 3648.73120945602, 3657.60501299007, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6112.55727691491, 6121.42989124503, 6123.92962748718)"
0.17171717171717174,1792.357702840185,27.65655517578125,"(187.54290076821835, 187.54290076821835, 199.79148991589773, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.32327985892402, 107.40727140534372, 107.44495310059898)","(177.80262713989646, 186.27488373844508, 198.30989404468502, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48953516686659, 105.91143358358856, 105.90353965663178)","(3853.71544230678, 3701.12303352594, 3950.12833993209, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.88144900135, 6118.21303838264, 6124.68589339677)"
0.18181818181818182,1792.357702840185,27.65655517578125,"(187.54290076821835, 187.54290076821835, 199.79148991589773, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177)","(177.80262713989646, 186.27488373844508, 198.30989404468502, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457)","(3906.10726637671, 3753.51485759586, 4005.94191937159, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425)"
