Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits,Sales,Abatements,Trades
0.0,1792.357702840185,26.226043701171875,"[176.04523429126368, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 108.07885503912362, 108.13551249276011, 107.87892156592157]","[170.4982179605704, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.75081409547164, 308.53386260557664, 106.24511034706619, 106.63967467100495, 106.36804101759286]","[3404.97992236144, 3522.27454917939, 3530.84282573002, 9515.60973412254, 9566.93225458208, 9517.50029362789, 6212.14923385488, 6212.59872542364, 6189.86060611082]","[14505.330977459775, 11935.452723425633, 8418.218760569855, 36987.40006978206, 27308.567951372042, 17629.735832962022, 19187.026487652587, 14751.271985147023, 8987.351989841385]","[17.071270992303784, 10.6909700352968, 7.724021513895458, 19.917291201545385, 70.39540994439238, 20.612975348921807, 12.017591667395521, 7.801099938124051, 7.878491595131366]","[4471.4937152058465, 4885.253241355171, 4879.651913325934, 8094.208807637942, 7992.408168435545, 8091.622563985212, 2786.388906997986, 2796.7367682005274, 2789.612892135433]"
0.0101010101010101,1792.357702840185,26.702880859375,"[176.04523429126368, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.54146693626433, 107.6771629375471, 108.06443006472225]","[170.4982179605704, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.7077222442069, 106.18132511579194, 106.5535495163424]","[3371.16402569244, 3484.03697241975, 3492.70709129819, 9368.44230125639, 9421.73436604111, 9370.38876666586, 6154.479624846, 6161.81873863306, 6196.89941502264]","[7902.124196378933, 8418.218760569855, 8418.218760569855, 17629.735832962022, 17629.735832962022, 17629.735832962022, 8990.43773596407, 9028.405220801915, 9050.064626048354]","[17.071270992303784, 10.6909700352968, 7.724021513895458, 19.917291201545385, 79.2918690636317, 22.96164993456166, 12.017627788076176, 7.801137978727077, 7.878473147303539]","[4552.793600936862, 4974.0760275616285, 4968.3728572045875, 8241.376240504087, 8128.709597857279, 8236.385416361602, 2822.7007130029615, 2835.3472740575544, 2845.286737878406]"
0.0202020202020202,1792.357702840185,26.702880859375,"[176.04523429126368, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.54071643586484, 107.49447315145122, 108.18519054974405]","[170.4982179605704, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.7069717438074, 105.99863532969606, 106.67431000141534]","[3418.64801475447, 3534.62218186657, 3543.29230074501, 9368.44230125639, 9421.73436604111, 9370.38876666586, 6154.48787464878, 6145.35830235538, 6207.44561774781]","[7902.124196378933, 8418.218760569855, 8418.218760569855, 17629.735832962022, 17629.735832962022, 17629.735832962022, 9006.24875043656, 9012.967347030595, 9063.835469659445]","[17.071270992303784, 10.6909700352968, 7.724021513895458, 19.917291201545385, 79.2918690636317, 22.96164993456166, 12.017627838907176, 7.80115327874029, 7.8784611878069635]","[4552.793600936862, 4974.0760275616285, 4968.3728572045875, 8241.376240504087, 8128.709597857279, 8236.385416361602, 2822.6806724802086, 2830.4689304652115, 2848.5113907238288]"
0.0303030303030303,1792.357702840185,27.179718017578125,"[187.54290076821835, 176.04523429126368, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.77338369733702, 107.65724535262652, 107.35210386439013]","[181.90641468503358, 174.77721726149042, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.93963900511153, 106.16140753087136, 105.81069042042293]","[3600.46869029509, 3286.03334093257, 3507.86648824783, 9221.27486839025, 9276.57883750795, 9223.3104556594, 6165.62385563648, 6150.27584384419, 6134.75857713384]","[8202.588188254496, 7902.124196378933, 8418.218760569855, 17629.735832962022, 17629.735832962022, 17629.735832962022, 9015.807170998143, 8996.635644560034, 9019.370196927986]","[17.910124467508947, 10.691126696454505, 7.724021513895458, 19.917291201545385, 79.2918690636317, 22.96164993456166, 12.017612136815593, 7.801139642961368, 8.706890921801355]","[4944.165056727846, 4750.395481064298, 5057.0938010832415, 8388.54367337023, 8273.865126390445, 8383.463727368058, 2879.409515042952, 2885.4371210382783, 2875.90472887235]"
0.0404040404040404,1792.357702840185,27.65655517578125,"[176.04523429126368, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.28642558158244, 107.46694230184062, 107.45182663883557]","[170.40874820807892, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.452680889525, 105.97110448008546, 105.91041319505231]","[3357.87364699951, 3465.3734868397, 3474.24729037375, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6112.59573726189, 6123.39131987594, 6123.35761280401]","[8104.5351352527605, 8418.218760569855, 8418.218760569855, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9042.000213047571, 9068.22698034434, 9061.181679852116]","[17.910546029299528, 10.6909700352968, 7.724021513895458, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.017645124296184, 7.801155591273698, 8.706880829346632]","[4712.918947252549, 5151.721599974544, 5145.814744961895, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2916.457887455201, 2930.795698091963, 2929.117186218755]"
0.0505050505050505,1792.357702840185,27.65655517578125,"[176.04523429126368, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.29523313312497, 107.36554551746643, 107.5185323235556]","[170.40874820807892, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.46148844106753, 105.86970769566112, 105.97711887978949]","[3407.05349281375, 3517.76531090962, 3526.63911444368, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6113.51967240279, 6121.61170921933, 6128.6365178841]","[7902.124196378933, 8418.218760569855, 8418.218760569855, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9047.467593384263, 9059.258587198248, 9068.305427650592]","[17.910546029299528, 10.6909700352968, 7.724021513895458, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.01764452351282, 7.801164125287042, 8.70687409726822]","[4712.918947252549, 5151.721599974544, 5145.814744961895, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2916.7014739904007, 2927.9914123288845, 2930.9620356692267]"
0.0606060606060606,1792.357702840185,27.65655517578125,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.26611784938979, 107.39558052269717, 107.49367366426371]","[181.90641468503358, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.43237315733235, 105.89974270094201, 105.95226022029651]","[3457.98377428681, 3354.52656266419, 3363.40036619824, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6114.10493814775, 6117.06661610053, 6128.61303447394]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9048.6980211134, 9057.882264800095, 9067.594441865369]","[17.910124467508947, 10.6909700352968, 7.724021513895458, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.017646510107188, 7.801161593911586, 8.706876610065885]","[5030.9047945651755, 5151.721599974544, 5145.814744961895, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2915.8962455393203, 2928.8220771096403, 2930.2745307813634]"
0.0707070707070707,1792.357702840185,25.74920654296875,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 108.10883658057863, 108.19683375170277, 108.27019207240411]","[178.15198397385623, 186.31693036570087, 186.08940029152032, 308.63247617010046, 304.75081409547164, 308.53386260557664, 106.32053889613599, 106.70099592993938, 106.75931152421981]","[3873.9451148807, 3736.92772998767, 3745.39176619904, 9662.77716698868, 9712.24876673546, 9664.62070388216, 6224.81933689581, 6227.95210215289, 6234.87392394154]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17629.735832962022, 17629.735832962022, 17629.735832962022, 9070.397606908213, 9031.009832118429, 8991.719939555014]","[82.82100575735792, 9.5974995945111, 6.992182257951771, 19.917291201545385, 70.39540994439238, 20.612975348921807, 10.84288851451645, 7.801094886147207, 7.878452791192123]","[4587.2722313824825, 4797.513122438358, 4791.654403563546, 7947.041374771798, 7847.091656282171, 7944.502153730936, 2737.669515796348, 2747.465982540477, 2748.96756282228]"
0.0808080808080808,1792.357702840185,26.226043701171875,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.75449469745907, 108.04652227556478, 108.14329121088899]","[178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.75081409547164, 308.53386260557664, 105.92075000532077, 106.55068445377279, 106.63241066256028]","[3845.00068243048, 3704.0991939462, 3712.66747049684, 9515.60973412254, 9566.93225458208, 9517.50029362789, 6198.01343602864, 6205.3393245724, 6213.65214424364]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17629.735832962022, 17629.735832962022, 17629.735832962022, 8969.522765832622, 9002.603168173333, 9018.076871573492]","[82.82100575735792, 10.6909700352968, 7.724021513895458, 19.917291201545385, 70.39540994439238, 20.612975348921807, 12.017613405748717, 7.801107286436175, 7.8784653322370675]","[4672.2217171488255, 4885.253241355171, 4879.651913325934, 8094.208807637942, 7992.408168435545, 8091.622563985212, 2777.8822185004437, 2794.40290687442, 2796.5462619976115]"
0.0909090909090909,1792.357702840185,26.226043701171875,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.75449469745907, 108.04652227556478, 108.14329121088899]","[178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.75081409547164, 308.53386260557664, 105.92075000532077, 106.55068445377279, 106.63241066256028]","[3894.68258456575, 3753.78109608147, 3762.34937263211, 9515.60973412254, 9566.93225458208, 9517.50029362789, 6198.01343602864, 6205.3393245724, 6213.65214424364]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17629.735832962022, 17629.735832962022, 17629.735832962022, 8985.655102213119, 9010.007303061542, 9018.076871573492]","[82.82100575735792, 10.6909700352968, 7.724021513895458, 19.917291201545385, 70.39540994439238, 20.612975348921807, 12.017613405748717, 7.801107286436175, 7.8784653322370675]","[4672.2217171488255, 4885.253241355171, 4879.651913325934, 8094.208807637942, 7992.408168435545, 8091.622563985212, 2777.8822185004437, 2794.40290687442, 2796.5462619976115]"
