Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,0.0,1000000000000.0,"(13.816510556964273, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 15.014107288081737, 15.849931923611136)","(0.000999998999999363, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.000999998999999363)","(1380550957935.5742, 7497997100950.154, 1424171672481.275, 3288695130507.9556, 20306958981532.86, 3748505054758.7056, 2905855543575.868, 1500359732671.5308, 1583932196383.9446)"
0.05263157894736842,117.91768089859731,179.62520360015333,"(9.069002121048214, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234996, 39.42795906360723, 39.4288022704316, 39.440465605242295)","(2.000999998, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 36.07894387867665, 37.03648525790153, 36.99840164203761)","(553.8196044920592, 93.9788944222653, 103.82793960355637, 531.1929222915799, 2189.408619501633, 581.9688213552633, 956.1180415888363, 840.7366245392294, 848.581671723646)"
0.10526315789473684,235.83536179719462,144.6096575818956,"(8.979506467860265, 3.4074144065361622, 3.092177117495816, 31.863810291487276, 31.8923379881504, 31.913667103261467, 58.59980906759896, 58.78208547911948, 59.09161035408285)","(2.000999998, 1.0009999989999998, 1.0009999989999998, 26.67279017062206, 7.489419239943992, 26.306853362442787, 55.49702392844483, 56.55222691291733, 56.706119044494805)","(592.2322040251202, 117.01322074526816, 128.104281279499, 618.5936517330484, 2073.102656924431, 659.3601826813007, 1689.6566615173401, 1611.7015854938077, 1624.6522125190718)"
0.15789473684210525,353.7530426957919,131.42198440618813,"(8.979532368556749, 4.407455743261494, 4.092177116495815, 63.9738617073243, 63.9738617073243, 60.05182554182782, 65.2902567717959, 65.33380673152776, 65.31987347917925)","(2.000999998, 2.000999998, 2.0009999979999993, 59.077304374672266, 41.96496421907151, 54.64612667877117, 62.26110740658354, 63.12158254981885, 63.065619119284186)","(604.982876492983, 134.9408394821364, 139.02744192442324, 860.5958302400941, 2074.062038171689, 870.3159251669003, 2057.1083348738607, 1987.6267421325065, 1991.7549130291022)"
0.21052631578947367,471.67072359438924,117.32481652870774,"(9.979532367556748, 4.407455743261494, 4.052523030010587, 93.51057233111973, 99.61782917811763, 93.51057233111973, 71.93466144759779, 71.90116092869303, 71.90348982655097)","(3.000999997, 2.000999998, 2.000999998, 88.77048084014396, 78.7187739204835, 88.28411688150885, 68.98058632603255, 69.73180022795094, 69.69388666497589)","(626.0972900560749, 156.512739813485, 161.10845631066542, 1309.8997767339847, 2348.7790650463635, 1338.0998686262233, 2493.0640578159428, 2432.618068315186, 2436.5591587728404)"
0.2631578947368421,589.5884044929866,106.4108801074326,"(13.979500290875105, 9.58760335131073, 10.213919321066479, 120.43341830743661, 120.43847527161341, 120.51837895139828, 76.6751917491538, 76.69660030390828, 77.04872706849903)","(7.000999992999998, 7.260985275277551, 8.162300148742315, 115.85009681850555, 101.59427591153633, 115.55312205626835, 73.85841683755262, 74.58637469455056, 74.82024136833464)","(645.1264656957753, 180.4132284660547, 184.57125863444907, 1873.5679803903042, 2686.318611110628, 1898.749672908871, 2856.1570614181683, 2806.468409941909, 2822.519120147821)"
0.3157894736842105,707.5060853915838,98.68017514236271,"(28.106708588140673, 28.106708588140673, 28.106708588140673, 136.68436915929485, 136.68436915929485, 145.6113425005262, 80.19077959595528, 80.19882921303171, 80.20315021222781)","(21.21764597007539, 25.857200397232198, 26.094088138036106, 132.2423689978051, 118.7901909107824, 140.8877409151856, 77.3813161388951, 78.15313956659776, 78.08021433111638)","(658.8029408911602, 232.42190419333082, 238.02213787883164, 2263.442077025198, 2967.2548744527157, 2412.7090763715164, 3137.27193106101, 3092.9407254516364, 3096.1943649511322)"
0.3684210526315789,825.4237662901812,87.31149137020111,"(52.9143547912282, 52.9143547912282, 52.9143547912282, 165.25245376608015, 165.25245376608015, 165.25245376608015, 7.267013457373799, 6.301508841358116, 171.79051594259917)","(46.114761925654385, 50.73943882507092, 50.9398990860895, 161.08979903841788, 149.11747009362216, 160.68547925768965, 4.000999995999999, 4.000999995999999, 169.75084637889972)","(797.2508037503184, 423.19131867639123, 431.4061537478823, 3141.124073962118, 3697.4800845820873, 3158.0076907190114, 669.8104618661637, 574.4950011589801, 12323.368575600083)"
0.42105263157894735,943.3414471887785,80.03553375601768,"(68.15205021430158, 68.15205021429747, 72.60311987307176, 187.54290076821732, 187.54290076804594, 187.54290076823273, 59.461569725599084, 90.32243165072836, 87.8727968507311)","(61.441927101219356, 66.04925268378256, 70.70283585782003, 183.5132606407791, 172.22155455074972, 183.27377107356799, 85.96943916200557, 100.67560813469544, 99.28114684425296)","(937.202348165891, 596.6452042845924, 637.7165083498945, 3543.237700086461, 4014.0410451288762, 3557.796098659769, 3896.343677073982, 5215.385323933482, 5030.549806811799)"
0.4736842105263157,1061.2591280873758,75.48806024715304,"(82.36643169069464, 77.33977118941489, 82.40732716333098, 187.53700928718715, 199.75198147176698, 199.81978419478645, 89.8665028360479, 89.77862285152173, 90.178801820453)","(75.77570141727433, 75.31182167414094, 80.49607076261778, 183.64202438066516, 185.24275217521753, 195.52236022124737, 87.35689979763018, 87.87352949583693, 88.1315954220562)","(1071.136192862, 712.0662508784959, 762.0931192045937, 3876.3050160405573, 4535.789994232517, 4129.817284395855, 4045.1237665292947, 4012.1000043168897, 4032.4008959523635)"
0.5263157894736842,1179.1768089859731,67.75735528208315,"(99.61766878337316, 93.51055479595625, 99.61793333809004, 212.83992026511658, 212.84004330315906, 212.84027286234567, 93.17750148130203, 92.77511167861653, 93.21217097503535)","(93.0866455700182, 91.61009451329471, 97.78893056899673, 209.0638184868475, 199.02495654158713, 208.84933743418688, 90.70568772298155, 90.91239201109286, 91.3271147110575)","(1344.457049897605, 1000.8486395257163, 1071.454565984705, 4810.956899763948, 5151.809024037909, 4821.901904461401, 4385.891449463135, 4342.48624431692, 4364.553139786018)"
