Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.2,448.08942571004627,120.50804798491299,"(9.461748293376672, 4.407455743261494, 4.052523030010587, 87.7777321537076, 87.7777321537076, 87.7777321537076, 70.49741260828979, 70.45523950252417, 70.39853955395074)","(3.000999997000001, 2.000999998, 2.000999998, 83.03764066273183, 66.87867689607347, 82.55127670409672, 67.54333748659728, 68.28587880178208, 68.18893639237567)","(496.257714946630, 151.775860432930, 156.240228413330, 1207.50803312831, 2237.49903378754, 1237.25158925539, 2393.53729444379, 2329.18707036750, 2331.92620080544)"
0.2421052631578947,542.4240416490034,109.59411156363785,"(11.46174829137667, 6.407455741261493, 5.092719849008757, 113.05500315245426, 113.05500315245426, 113.05500315245426, 75.43597295906108, 75.48268028730207, 75.32454881202077)","(5.000999994999999, 4.000999995999999, 3.0411968169981707, 108.46637727173709, 93.20982430044896, 108.00184784763466, 72.55511091327139, 73.35535249144435, 73.15871264017196)","(519.158560173153, 172.212405026344, 174.894123186025, 1703.45115949050, 2562.90224102619, 1728.55832725318, 2753.71079763032, 2701.51885835637, 2698.38515797013)"
0.28421052631578947,636.7586575879604,101.86340659856796,"(20.484632507880853, 20.484632507880853, 21.822500669461256, 128.30467989301465, 136.68436915929485, 136.68436915929485, 44.80236571969511, 91.05615895131857, 93.17425076299101)","(14.18861518393948, 18.157973447793072, 19.809880219356685, 123.8626797315249, 117.83992237160845, 131.79876851634046, 41.86305034992267, 88.97004957987471, 91.05131488187958)","(525.571019172742, 204.184193264040, 211.555231404932, 1991.35472049878, 2848.10345907599, 2122.93807214915, 1794.15862238963, 3595.24907682255, 3806.92469471617)"
0.3263157894736842,731.0932735269176,97.31593308970332,"(29.94238149628398, 31.897943312598393, 31.897943312598393, 145.6113425005262, 145.6113425005262, 145.6113425005262, 88.23042947288835, 52.93291549743734, 97.60597173906183)","(23.6463641723426, 29.648435121689914, 29.885322862493823, 141.31128281978033, 127.71716425201376, 140.8877409151856, 85.38788673925959, 50.82952074615201, 95.51905301184203)","(546.472049146736, 248.961177529757, 254.874080408125, 2314.41839546609, 2999.76001145826, 2335.02287641368, 3861.42793639934, 2046.26713181739, 3933.58992201573)"
0.368421052631579,825.4278894658748,87.31149137020111,"(52.9143547912282, 52.9143547912282, 52.9143547912282, 165.25245376608015, 165.25245376608015, 165.25245376608015, 7.267013457373799, 6.301508841358116, 171.79051594259917)","(46.93530683077662, 50.73943882507092, 50.9398990860895, 161.08979903841788, 149.11747009362216, 160.68547925768965, 4.000999995999999, 4.000999995999999, 169.75084637889972)","(687.623683989292, 423.220556838127, 431.428169252063, 3141.14398453300, 3697.50005155193, 3158.02262542351, 670.161480843389, 574.781745292263, 12330.9146184333)"
0.4105263157894737,919.7625054048318,85.03775461576879,"(56.370236927754746, 60.05182554182782, 60.05182554182782, 165.25245376608015, 176.04523429126368, 176.04523429126368, 85.96596665850143, 85.89632136033843, 86.08205621148971)","(50.391188967303165, 57.949028011308656, 58.114810182366696, 161.08979903841788, 159.9102506188057, 171.6296930170842, 83.2940367013036, 83.92913667338134, 84.04238664779027)","(708.603895015163, 474.283387916467, 483.006279297163, 3131.92605952730, 3849.71640573732, 3336.86585776192, 3661.11319229469, 3621.50360294947, 3634.01388094568)"
0.45263157894736844,1014.097121343789,78.21654435247183,"(72.60311987306747, 72.60311987306747, 77.34489251697599, 187.54290076821835, 187.54290076821835, 187.54290076821835, 88.77570578776597, 88.77407209825265, 88.96024845220052)","(66.77652117417074, 70.57004903023243, 75.44460850172855, 183.64202438066516, 172.22155455074972, 183.27377107356799, 86.1699965857009, 86.84500327513406, 86.96097828978884)","(874.091518523556, 644.220738598363, 688.938591183659, 3860.03930808077, 4310.27313531429, 3874.12702585111, 3933.99089527825, 3903.93721768209, 3913.14268821590)"
0.4947368421052632,1108.431737282746,72.75957614183426,"(82.39635477786521, 87.7777321537076, 87.7777321537076, 199.79148991589773, 199.79148991589773, 199.79148991589773, 91.0034956133853, 91.12085841375628, 90.97581873208871)","(76.71831818640752, 85.8120755709349, 85.91348282601781, 196.01526325105638, 185.24275217521753, 195.66391776426445, 88.46236549934736, 89.19178959058348, 89.01614795889023)","(1027.76719693417, 865.071543827008, 875.660313249555, 4378.35922056886, 4769.77924085616, 4390.77139284301, 4162.11727079877, 4142.10930217055, 4139.60327598040)"
0.5368421052631579,1202.7663532217032,66.39311322942376,"(99.61782917811763, 99.61782917811763, 99.61782917811763, 226.74081215918238, 212.84004515168886, 212.84004515168886, 93.68770558660255, 93.55852791121113, 93.65707868122132)","(94.08456668977611, 97.71735136029261, 97.78893056899673, 223.08525264320167, 199.72160958848053, 208.84933743418688, 91.20955357801806, 91.70348994512771, 91.73622312745863)","(1305.74451489488, 1119.27584173080, 1130.46046768467, 5087.38500114398, 5113.79097469743, 4796.45261427187, 4444.07605102595, 4411.43198141007, 4417.69665782369)"
0.5789473684210527,1297.1009691606603,59.5719029661268,"(113.05500315245426, 120.43872269922272, 113.05500315245426, 226.74081215918238, 241.54945043799546, 226.74081215918238, 96.31426471680221, 96.31259873657321, 96.3567736325508)","(107.80030870356859, 118.60126204679972, 111.26078479219015, 223.20206272101157, 229.09253807051465, 223.0103683105544, 93.95742738520435, 94.49350355210439, 94.51125781513721)","(1562.96435715368, 1487.22208680328, 1412.16436603510, 5565.98312251249, 6185.27192148702, 5574.59626092190, 4739.65833573037, 4721.03158030126, 4726.52705443097)"
