Main Activity Sector Name,Country,Year,ETS information,Emissions Unit,ETS Information
20-99 All stationary installations,All Countries,Total 4th trading period (21-30),1.1 Freely allocated allowances,t CO2-eq,1090 577 381.000
20-99 All stationary installations,All Countries,Total 3rd trading period (13-20),1.1 Freely allocated allowances,t CO2-eq,6592 503 487.000
20-99 All stationary installations,All Countries,Total 2nd trading period (08-12),1.1 Freely allocated allowances,t CO2-eq,9998 446 757.000
20-99 All stationary installations,All Countries,Total 1st trading period (05-07),1.1 Freely allocated allowances,t CO2-eq,6297 836 955.000
20-99 All stationary installations,All Countries,2022,1.1 Freely allocated allowances,t CO2-eq,545 645 137.000
20-99 All stationary installations,All Countries,2021,1.1 Freely allocated allowances,t CO2-eq,544 932 244.000
20-99 All stationary installations,All Countries,2020,1.1 Freely allocated allowances,t CO2-eq,669 658 893.000
20-99 All stationary installations,All Countries,2019,1.1 Freely allocated allowances,t CO2-eq,721 326 735.000
20-99 All stationary installations,All Countries,2018,1.1 Freely allocated allowances,t CO2-eq,748 950 686.000
20-99 All stationary installations,All Countries,2017,1.1 Freely allocated allowances,t CO2-eq,787 023 036.000
20-99 All stationary installations,All Countries,2016,1.1 Freely allocated allowances,t CO2-eq,833 826 317.000
20-99 All stationary installations,All Countries,2015,1.1 Freely allocated allowances,t CO2-eq,878 868 929.000
20-99 All stationary installations,All Countries,2014,1.1 Freely allocated allowances,t CO2-eq,939 445 581.000
20-99 All stationary installations,All Countries,2013,1.1 Freely allocated allowances,t CO2-eq,1013 403 310.000
20-99 All stationary installations,All Countries,2012,1.1 Freely allocated allowances,t CO2-eq,2054 002 632.000
20-99 All stationary installations,All Countries,2011,1.1 Freely allocated allowances,t CO2-eq,2016 573 723.000
20-99 All stationary installations,All Countries,2010,1.1 Freely allocated allowances,t CO2-eq,1997 893 777.000
20-99 All stationary installations,All Countries,2009,1.1 Freely allocated allowances,t CO2-eq,1972 036 847.000
20-99 All stationary installations,All Countries,2008,1.1 Freely allocated allowances,t CO2-eq,1957 939 778.000
20-99 All stationary installations,All Countries,2007,1.1 Freely allocated allowances,t CO2-eq,2144 965 597.000
20-99 All stationary installations,All Countries,2006,1.1 Freely allocated allowances,t CO2-eq,2063 984 117.000
20-99 All stationary installations,All Countries,2005,1.1 Freely allocated allowances,t CO2-eq,2088 887 241.000
20-99 All stationary installations,All Countries,Total 4th trading period (21-30),2. Verified emissions,t CO2-eq,1335 460 461.000
20-99 All stationary installations,All Countries,Total 3rd trading period (13-20),2. Verified emissions,t CO2-eq,13598 961 100.000
20-99 All stationary installations,All Countries,Total 2nd trading period (08-12),2. Verified emissions,t CO2-eq,9709 522 541.000
20-99 All stationary installations,All Countries,Total 1st trading period (05-07),2. Verified emissions,t CO2-eq,6214 598 463.000
20-99 All stationary installations,All Countries,2021,2. Verified emissions,t CO2-eq,1335 460 461.000
20-99 All stationary installations,All Countries,2020,2. Verified emissions,t CO2-eq,1355 568 986.000
20-99 All stationary installations,All Countries,2019,2. Verified emissions,t CO2-eq,1530 367 037.000
20-99 All stationary installations,All Countries,2018,2. Verified emissions,t CO2-eq,1683 149 087.000
20-99 All stationary installations,All Countries,2017,2. Verified emissions,t CO2-eq,1754 747 340.000
20-99 All stationary installations,All Countries,2016,2. Verified emissions,t CO2-eq,1750 578 662.000
20-99 All stationary installations,All Countries,2015,2. Verified emissions,t CO2-eq,1802 942 862.000
20-99 All stationary installations,All Countries,2014,2. Verified emissions,t CO2-eq,1813 644 001.000
20-99 All stationary installations,All Countries,2013,2. Verified emissions,t CO2-eq,1907 963 125.000
20-99 All stationary installations,All Countries,2012,2. Verified emissions,t CO2-eq,1867 032 893.000
20-99 All stationary installations,All Countries,2011,2. Verified emissions,t CO2-eq,1904 394 075.000
20-99 All stationary installations,All Countries,2010,2. Verified emissions,t CO2-eq,1938 803 008.000
20-99 All stationary installations,All Countries,2009,2. Verified emissions,t CO2-eq,1879 618 454.000
20-99 All stationary installations,All Countries,2008,2. Verified emissions,t CO2-eq,2119 674 111.000
20-99 All stationary installations,All Countries,2007,2. Verified emissions,t CO2-eq,2164 732 712.000
20-99 All stationary installations,All Countries,2006,2. Verified emissions,t CO2-eq,2035 788 981.000
20-99 All stationary installations,All Countries,2005,2. Verified emissions,t CO2-eq,2014 076 770.000
20-99 All stationary installations,Austria,Total 4th trading period (21-30),1.1 Freely allocated allowances,t CO2-eq,36 865 702.000
20-99 All stationary installations,Austria,Total 3rd trading period (13-20),1.1 Freely allocated allowances,t CO2-eq,162 201 974.000
20-99 All stationary installations,Austria,Total 2nd trading period (08-12),1.1 Freely allocated allowances,t CO2-eq,160 218 569.000
20-99 All stationary installations,Austria,Total 1st trading period (05-07),1.1 Freely allocated allowances,t CO2-eq,97 791 309.000
20-99 All stationary installations,Austria,2022,1.1 Freely allocated allowances,t CO2-eq,18 425 987.000
20-99 All stationary installations,Austria,2021,1.1 Freely allocated allowances,t CO2-eq,18 439 715.000
20-99 All stationary installations,Austria,2020,1.1 Freely allocated allowances,t CO2-eq,18 185 631.000
20-99 All stationary installations,Austria,2019,1.1 Freely allocated allowances,t CO2-eq,18 776 348.000
20-99 All stationary installations,Austria,2018,1.1 Freely allocated allowances,t CO2-eq,19 364 427.000
20-99 All stationary installations,Austria,2017,1.1 Freely allocated allowances,t CO2-eq,19 927 056.000
20-99 All stationary installations,Austria,2016,1.1 Freely allocated allowances,t CO2-eq,20 493 654.000
20-99 All stationary installations,Austria,2015,1.1 Freely allocated allowances,t CO2-eq,21 092 137.000
20-99 All stationary installations,Austria,2014,1.1 Freely allocated allowances,t CO2-eq,21 908 568.000
