DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1990,2189.897,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1991,1494.007,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1992,1080.746,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1993,986.152,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1994,1039.524,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1995,984.811,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1996,1049.115,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1997,846.064,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1998,940.142,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,1999,1571.516,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2000,1571.316,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2001,1609.325,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2002,1819.033,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2003,1734.484,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2004,2020.840,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2005,1997.634,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2006,1760.406,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2007,1699.183,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2008,1830.198,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2009,1970.350,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2010,2005.634,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2011,2001.536,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2012,1805.715,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2013,2117.221,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2014,2151.923,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2015,2044.087,
ESTAT:NRG_BAL_S(1.0),14/04/22 11:00:00,A,AFC,TOTAL,KTOE,AL,2016,2006.921,
