"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.109032402243734,0.430418143408392,0.106434612762752,0.209038211433494,0.0702595721665941,0.113254666768049,0.108399817128685,0.100890543005248
"2","Belgium",0.175525894560902,0.401099857929727,0.137618806934227,0.380491355195365,0.10113046291031,0.0743783979013801,0.0998056501742379,0.0924095143625094
"3","Bulgaria",0.0598395995374318,0.0759238514922051,0.0856061413889655,1,0.0786609376996132,0.0581326274569441,0.0150183067528961,0.0132801500703955
"4","Croatia",0.0279522165708775,0.123685380705359,0.0498993539591479,0.241909632022033,0.0187209505120843,0.0434931376649051,0.0118968386023295,0.00988679581649632
"5","Cyprus",0.00723231265355657,0.241474715932099,0.0142720516284876,0.215879589745978,0.0106838970901311,0.0111512945291412,0.00305328383511757,0.00194059008794866
"6","Denmark",0.0540516627812776,0.522809855646483,0.0697458153635913,0.246276730208254,0.0350520656591558,0.109999334676653,0.0740640599001664,0.0712154422116985
"7","Estonia",0.0187326033148558,0.185472087574235,0.0159379601016741,0.74639293946641,0.0328960314249768,0.0160485495951032,0.00683697375443443,0.00565720936717193
"8","Finland",0.107477175551971,0.421188700279109,0.0666394118673697,0.170314729596232,0.0585775764985071,0.155001330646694,0.063997111732019,0.0555213037794153
"9","France",0.799574082937702,0.351936822265547,0.809586827259958,0.108429536859332,0.248117947096355,1,0.423203073493862,0.353189110182663
"10","Germany",1,0.405220863065526,1,0.312608933186537,1,0.63977493061628,1,1
"11","Greece",0.0749138866115587,0.168631884479986,0.130112134964682,0.0593324765585761,0.113327705681669,0.188419571911949,0.0277838822088971,0.0240030352343164
"12","Hungary",0.0845948922564171,0.132709593410552,0.1184166587605,0.837649845497816,0.050902743342818,0.126596776033152,0.0378184550905723,0.0391724929604505
"13","Ireland",0.0436059348319007,0.633197150657929,0.0581606867377067,0.192474670955253,0.063824977014429,0.0910803900695738,0.158778215552695,0.209894423899728
"14","Italy",0.499555011045251,0.294089982336099,0.732384523213169,0.150997861250719,0.351752245320211,0.899422119149907,0.401062694251719,0.400124106342908
"15","Latvia",0.0141173032726197,0.142432683998912,0.0234976826282666,0.612700528533842,0.00543297959022152,0.0319355206630422,0.00639500204062412,0.0052316651734289
"16","Lithuania",0.0242840912333817,0.153234548823006,0.0342185529545337,0.882157575596305,0.0142106221391198,0.0429608789871878,0.0138576036794023,0.0126713318919018
"17","Luxembourg",0.0120177853229983,1,0.00721458540197236,0.445483513669036,0.00390140018157571,0.00348819526289777,0.00806517439487646,0.0048231198917555
"18","Malta",0.0021938708993379,0.261876561222502,0.00566194017053752,0.436189475557389,0.00220866818156799,0.001416188267498,0.00195880293849873,0.00159632640653855
"19","Netherlands",0.239992574657764,0.441726133773948,0.207257650114143,0.262085554960535,0.210788155529963,0.347450861118504,0.159594661413368,0.140992690753506
"20","Poland",0.33403675705065,0.125821557624813,0.459426607318761,0.386608868325556,0.454412253963311,0.354403490096187,0.162129744451072,0.136356987438518
"21","Portugal",0.0747685519615171,0.195024985286344,0.124614972122991,0.314307584078126,0.0703021742080028,0.114019788617268,0.0434898204250777,0.0388425140790989
"22","Romania",0.106247559667143,0.0980732735467236,0.236987968665982,0.97274258838556,0.0929285206608245,0.237140250161579,0.0658449557341538,0.0580941391179536
"23","Slovenia",0.0220051676241983,0.213389052638739,0.0249995517621121,0.30436098628606,0.0149310378280131,0.0267459985552979,0.015460082252849,0.0158492713609186
"24","Spain",0.402851286485764,0.255643400610211,0.563693757003188,0.270161578683023,0.315247604867905,0.943963141086568,0.25647701943302,0.201365684024794
"25","Sweden",0.158071619777493,0.488156274284107,0.121679927370218,0.443871967749124,0.0504742417994415,0.180136296239973,0.11209354299438,0.0935961527033699
"26","United Kingdom",0.558695652431333,0.370782865759379,0.799192535436986,0.378099190734526,0.334504638152395,0.393049271946166,0.462505395881079,0.342621357947377
