DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2000,45.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2001,44.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2002,43.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2003,41.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2004,41.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2005,41.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2006,42.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2007,42.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2008,42.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2009,42.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2010,42.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2011,43.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2012,43.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2013,43.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2014,43.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2015,44.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2016,44.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2017,42.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2018,41.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2019,39.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2020,42.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA19,2021,44.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2000,47.4,
