"","GEO","Free","Verified_emissions","Total_energy_supply","GDPpc","Population","Inflation","Agriculture","Industry","Manufacturing","Energy_Intensity"
"1","Austria",20484547,31378821,34068.816,47429.1585,8797566,1.005534,1.21053643138638,25.4118677707583,16.8427076676864,106.39
"2","Belgium",33949805,45311438,54845.709,44198.4824,11375158,1.830273,0.665093660241847,19.2353624906499,12.4291175308128,162.2
"3","Bulgaria",13403487,35159385,18697.784,8366.2932,7075947,4.810288,4.04090723942437,23.9758286109973,14.0009979108461,182.25
"4","Cyprus",2363517,4775424,2259.845,26608.875,1179685,1.038443,1.85202251900584,11.3433874666571,4.89040165628534,124.65
"5","Denmark",8669038,15667358,16889.256,57610.0982,5764980,1.184662,1.30480035996571,20.7432378422377,13.0093579335607,83.96
"6","Estonia",4929942,14702931,5853.284,20437.7654,1317384,3.590365,2.38620546594402,23.9988866145101,13.6109739798589,203.73
"7","Finland",18558917,26095495,33582.862,46412.1365,5508214,0.8192629,2.31594204179389,24.4006875798163,15.200993367241,192.31
"8","France",72833560,110995710,249838.963,38781.0495,66918020,0.5215773,1.54241477388973,17.241152651745,10.136285162817,125.59
"9","Germany",155316922,446866987,312465.059,44652.5892,82657002,1.503739,0.851748919550925,27.462322016675,20.3903390100271,107.63
"10","Greece",14823075,50655363,23407.972,18582.0893,10754679,0.2854063,3.85638896453125,13.7286938837213,8.10803382721332,125.56
"11","Hungary",10777645,22752197,26432.948,14623.6966,9787966,4.029337,3.75419763895675,25.1696808716092,19.1264888029734,134.43
"12","Ireland",10441732,28535719,13625.331,69774.029,4807388,0.9258586,1.17796786558082,35.9355371148329,31.8847174192262,57.49
"13","Italy",71528319,159918175,156093.486,32406.7203,60536709,0.7263432,1.97268467311393,21.3004050229852,14.9138704248918,93.6
"14","Latvia",1951388,2428400,4411.164,15695.1152,1942248,2.947266,3.55239259613126,19.0466221765712,10.470181085517,125.79
"15","Lithuania",5799012,6351777,7587.93,16885.4074,2828403,4.243432,3.50751154955695,25.8963432866412,16.9708619465891,119.97
"16","Luxembourg",1330305,1743824,3755.138,110193.2138,596336,2.142904,0.23457255011554,10.8183368591649,4.77590867294046,91.95
"17","Malta",177624,987217,685.508,28857.0199,467999,2.098197,0.648197775693421,11.7789427844031,6.9283465094466,211.68
"18","Netherlands",45741129,94265422,74989.294,48675.2223,17131296,1.260707,1.85559496359799,17.7031373197172,11.052420523853,140.18
"19","Poland",72265282,203110411,104374.815,13864.6818,37974826,1.8597,3.01034802405091,28.8624032552045,17.0909837330555,135.01
"20","Portugal",11448209,31423448,23362.56,21490.4299,10300300,1.51191,2.09586857603127,19.1172658186866,12.3425079642624,108.74
"21","Romania",27541881,41536622,33198.65,10807.0092,19588715,4.679172,4.43884752783431,29.1102472148073,19.8126933888448,92.59
"22","Slovenia",1839391,6673784,6875.846,23514.0255,2066388,1.464064,1.83972417134003,28.342516841896,20.5731074775421,136.19
"23","Spain",62162352,143100186,125876.951,28170.1679,46593236,1.299555,2.787029932249,20.0456433248573,11.3279919345682,108.36
"24","Sweden",24701607,22723536,49391.858,53791.5087,10057698,2.135152,1.44353822862843,22.1283718774148,13.045529453023,146.77
"25","United Kingdom",56977579,140976282,174572.87,40857.7556,66058859,1.818766,0.592419789276588,17.7222821207401,8.9750734769363,90.95
