Main Activity Sector Name,Country,Year,ETS information,Emissions Unit,ETS Information
10 Aviation,All Countries,2021,1.1 Freely allocated allowances,t CO2-eq,23 938 147.000
10 Aviation,All Countries,2020,1.1 Freely allocated allowances,t CO2-eq,30 493 279.000
10 Aviation,All Countries,2019,1.1 Freely allocated allowances,t CO2-eq,30 141 538.000
10 Aviation,All Countries,2018,1.1 Freely allocated allowances,t CO2-eq,30 594 159.000
10 Aviation,All Countries,2017,1.1 Freely allocated allowances,t CO2-eq,32 658 664.000
10 Aviation,All Countries,2016,1.1 Freely allocated allowances,t CO2-eq,31 587 285.000
10 Aviation,All Countries,2015,1.1 Freely allocated allowances,t CO2-eq,31 713 558.000
10 Aviation,All Countries,2014,1.1 Freely allocated allowances,t CO2-eq,32 069 504.000
10 Aviation,All Countries,2013,1.1 Freely allocated allowances,t CO2-eq,32 133 469.000
10 Aviation,All Countries,2012,1.1 Freely allocated allowances,t CO2-eq,173 816 340.000
10 Aviation,All Countries,2021,2. Verified emissions,t CO2-eq,27 944 486.000
10 Aviation,All Countries,2020,2. Verified emissions,t CO2-eq,25 246 575.000
10 Aviation,All Countries,2019,2. Verified emissions,t CO2-eq,68 176 213.000
10 Aviation,All Countries,2018,2. Verified emissions,t CO2-eq,67 494 323.000
10 Aviation,All Countries,2017,2. Verified emissions,t CO2-eq,64 417 120.000
10 Aviation,All Countries,2016,2. Verified emissions,t CO2-eq,61 474 291.000
10 Aviation,All Countries,2015,2. Verified emissions,t CO2-eq,57 108 434.000
10 Aviation,All Countries,2014,2. Verified emissions,t CO2-eq,54 832 616.000
10 Aviation,All Countries,2013,2. Verified emissions,t CO2-eq,53 486 897.000
10 Aviation,All Countries,2012,2. Verified emissions,t CO2-eq,83 980 057.000
10 Aviation,All Countries,2011,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,All Countries,2010,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Austria,2021,1.1 Freely allocated allowances,t CO2-eq,2 279 760.000
10 Aviation,Austria,2020,1.1 Freely allocated allowances,t CO2-eq,2 477 724.000
10 Aviation,Austria,2019,1.1 Freely allocated allowances,t CO2-eq,2 378 437.000
10 Aviation,Austria,2018,1.1 Freely allocated allowances,t CO2-eq, 557 491.000
10 Aviation,Austria,2017,1.1 Freely allocated allowances,t CO2-eq, 557 491.000
10 Aviation,Austria,2016,1.1 Freely allocated allowances,t CO2-eq, 557 125.000
10 Aviation,Austria,2015,1.1 Freely allocated allowances,t CO2-eq, 565 277.000
10 Aviation,Austria,2014,1.1 Freely allocated allowances,t CO2-eq, 565 298.000
10 Aviation,Austria,2013,1.1 Freely allocated allowances,t CO2-eq, 565 298.000
10 Aviation,Austria,2012,1.1 Freely allocated allowances,t CO2-eq,1 932 411.000
10 Aviation,Austria,2021,2. Verified emissions,t CO2-eq,1 615 088.000
10 Aviation,Austria,2020,2. Verified emissions,t CO2-eq,1 232 596.000
10 Aviation,Austria,2019,2. Verified emissions,t CO2-eq,3 808 635.000
10 Aviation,Austria,2018,2. Verified emissions,t CO2-eq,1 246 921.000
10 Aviation,Austria,2017,2. Verified emissions,t CO2-eq, 848 968.000
10 Aviation,Austria,2016,2. Verified emissions,t CO2-eq,1 045 291.000
10 Aviation,Austria,2015,2. Verified emissions,t CO2-eq,1 022 438.000
10 Aviation,Austria,2014,2. Verified emissions,t CO2-eq,1 028 211.000
10 Aviation,Austria,2013,2. Verified emissions,t CO2-eq,1 017 409.000
10 Aviation,Austria,2012,2. Verified emissions,t CO2-eq,1 227 373.000
10 Aviation,Austria,2011,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Austria,2010,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Belgium,2021,1.1 Freely allocated allowances,t CO2-eq, 492 603.000
10 Aviation,Belgium,2020,1.1 Freely allocated allowances,t CO2-eq, 519 354.000
10 Aviation,Belgium,2019,1.1 Freely allocated allowances,t CO2-eq, 514 176.000
10 Aviation,Belgium,2018,1.1 Freely allocated allowances,t CO2-eq, 521 820.000
