Country:text,Renewable energy share 2020:number,Renewable energy share 2021 (proxy):number,2020 Target:number
Sweden,60.12,60.62,49
Finland,43.8,47.13,38
Denmark,31.68,46.44,30
Latvia,42.13,42.82,40
Estonia,30.07,40.91,25
Austria,36.55,36.92,34
Portugal,33.98,33.93,31
Croatia,31.02,32.73,20
Lithuania,26.77,28.92,23
Bulgaria,23.32,24.01,16
Slovenia,25,23.96,25
Romania,24.48,22.24,24
Spain,21.22,21.94,20
Greece,21.75,21.92,18
France,19.11,19.47,23
Italy,20.36,18.95,17
Germany,19.31,18.86,18
Czechia,17.3,17.81,13
Cyprus,16.88,17.45,13
Slovakia,17.34,16.58,14
Poland,16.1,15.77,15
Hungary,13.85,14.39,13
Netherlands,14,13.64,14
Ireland,16.16,13.32,16
Belgium,13,12.31,13
Malta,10.71,11.28,10
Luxembourg,11.7,10.28,11
,,,
EU-27,22.09,22.21,20
,,,
Iceland,83.72,84.75,64
Norway,77.36,80.43,67.5
