"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Gross available energy","Total","Thousand tonnes of oil equivalent","1,559,603.998",""
"2011","European Union - 27 countries (from 2020)","Total energy supply","Total","Thousand tonnes of oil equivalent","1,479,995.556",""
"2011","European Union - 27 countries (from 2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","1,412,206.479",""
"2011","European Union - 27 countries (from 2020)","Available for final consumption","Total","Thousand tonnes of oil equivalent","1,034,042.488",""
"2011","Euro area - 19 countries  (from 2015)","Gross available energy","Total","Thousand tonnes of oil equivalent","1,251,559.992",""
"2011","Euro area - 19 countries  (from 2015)","Total energy supply","Total","Thousand tonnes of oil equivalent","1,177,700.265",""
"2011","Euro area - 19 countries  (from 2015)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","1,123,599.667",""
"2011","Euro area - 19 countries  (from 2015)","Available for final consumption","Total","Thousand tonnes of oil equivalent","828,079.381",""
"2011","Belgium","Gross available energy","Total","Thousand tonnes of oil equivalent","63,398.586",""
"2011","Belgium","Total energy supply","Total","Thousand tonnes of oil equivalent","55,187.599",""
"2011","Belgium","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","49,496.826",""
"2011","Belgium","Available for final consumption","Total","Thousand tonnes of oil equivalent","39,639.317",""
"2011","Bulgaria","Gross available energy","Total","Thousand tonnes of oil equivalent","19,275.496",""
"2011","Bulgaria","Total energy supply","Total","Thousand tonnes of oil equivalent","19,030.567",""
"2011","Bulgaria","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent","18,574.793",""
"2011","Bulgaria","Available for final consumption","Total","Thousand tonnes of oil equivalent","9,669.717",""
"2011","Czechia","Gross available energy","Total","Thousand tonnes of oil equivalent","43,617.728",""
"2011","Czechia","Total energy supply","Total","Thousand tonnes of oil equivalent","43,307.467",""
