DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,1995,342.67,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,1996,341.35,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,1997,327.08,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,1998,331.43,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,1999,404.99,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2000,379.47,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2001,357.74,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2002,377.99,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2003,350.76,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2004,364.79,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2005,347.58,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2006,318.24,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2007,282.96,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2008,273.91,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2009,268.89,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2010,257.00,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2011,261.47,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2012,232.30,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2013,271.22,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2014,265.38,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2015,242.45,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2016,243.86,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2017,245.80,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2018,234.91,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2019,228.99,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AL,2020,220.18,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,1995,135.88,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,1996,141.34,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,1997,137.44,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,1998,135.00,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,1999,130.15,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2000,125.63,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2001,130.87,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2002,129.49,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2003,135.03,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2004,133.20,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2005,135.41,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2006,132.07,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2007,125.15,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2008,124.33,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2009,122.65,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2010,128.56,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2011,121.27,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2012,120.10,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2013,121.49,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2014,116.44,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2015,118.07,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2016,117.39,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2017,116.86,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2018,111.48,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2019,112.24,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2020,111.60,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,AT,2021,112.65,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2014,557.38,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2015,550.39,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2016,583.46,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2017,564.07,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2018,601.49,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2019,565.23,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2020,572.99,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BA,2021,553.46,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,1995,237.34,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,1996,248.48,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,1997,242.74,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,1998,243.92,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,1999,233.40,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2000,230.04,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2001,225.33,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2002,219.68,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2003,228.25,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2004,222.37,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2005,215.84,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2006,210.36,
